n_points,ratio_greedy,ratio_blind_greedy,ratio_wspd,ratio_quasi_sorted_greedy,ratio_quasi_sorted_shaker,ratio_blind_random,ratio_blind_random_connect_first,ratio_blind_random_lower_bound_first,ratio_blind_random_connect_first_lower_bound_first
100,4.01,10.57,48.102,49.4,49.23,20.92,20.32,18.45,19.17
150,4.06666666666667,11.04,72.4026666666667,74.48,74.5,25.1333333333333,24.34,23.4866666666667,24.24
200,4.13,11.18,94.358,99.485,97.17,28.95,28.915,25.1,25.625
250,4.172,11.576,115.9232,124.48,124.096,32.476,31.492,27.2,28.112
300,4.18,11.48,139.568,149.466666666667,147.346666666667,33.7966666666667,34.9233333333333,28.81,29.3
350,4.23142857142857,11.8542857142857,158.153714285714,174.442857142857,171.7,36.8857142857143,35.8685714285714,30.3971428571429,31.0628571428571
400,4.2675,12.1375,179.707,199.4775,196.3125,39.44,39.56,31.88,33.115
450,4.32,12.4622222222222,199.874222222222,224.482222222222,221.708888888889,41.0133333333333,40.76,33.7444444444444,33.2311111111111
500,4.338,12.52,220.8268,249.462,249.402,42.53,42.964,34.518,34.754
550,4.36545454545455,12.5127272727273,239.173454545455,274.496363636364,273.76,44.4327272727273,44.2763636363636,35.56,36.1563636363636
600,4.35,12.5066666666667,264.114333333333,299.491666666667,298.76,47.18,46.2566666666667,36.0716666666667,35.9883333333333
650,4.34307692307692,12.6261538461538,278.34,324.492307692308,323.752307692308,47.5415384615385,48.5538461538462,37.0046153846154,37.2030769230769
700,4.35714285714286,12.8285714285714,298.421714285714,349.492857142857,348.777142857143,49.4214285714286,48.58,37.6457142857143,37.8628571428571
750,4.38533333333333,12.888,316.561066666667,374.489333333333,372.518666666667,50.3533333333333,50.6373333333333,37.8133333333333,38.0306666666667
