n_points,edges_greedy,edges_blind_greedy,edges_wspd,edges_quasi_sorted_greedy,edges_quasi_sorted_shaker,edges_blind_random,edges_blind_random_connect_first,edges_blind_random_lower_bound_first,edges_blind_random_connect_first_lower_bound_first
100,401,1057,4810.2,4940,4923,2092,2032,1845,1917
150,610,1656,10860.4,11172,11175,3770,3651,3523,3636
200,826,2236,18871.6,19897,19434,5790,5783,5020,5125
250,1043,2894,28980.8,31120,31024,8119,7873,6800,7028
300,1254,3444,41870.4,44840,44204,10139,10477,8643,8790
350,1481,4149,55353.8,61055,60095,12910,12554,10639,10872
400,1707,4855,71882.8,79791,78525,15776,15824,12752,13246
450,1944,5608,89943.4,101017,99769,18456,18342,15185,14954
500,2169,6260,110413.4,124731,124701,21265,21482,17259,17377
550,2401,6882,131545.4,150973,150568,24438,24352,19558,19886
600,2610,7504,158468.6,179695,179256,28308,27754,21643,21593
650,2823,8207,180921,210920,210439,30902,31560,24053,24182
700,3050,8980,208895.2,244645,244144,34595,34006,26352,26504
750,3289,9666,237420.8,280867,279389,37765,37978,28360,28523
