Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
2;0.001;100;normal;query_1;0.02;0.11;0.06500000000000002;2;11;6.5
2;0.001;100;unif;query_1;0.03;0.15;0.095;3;15;9.5
2;0.001;100;exp;query_2;0.04;0.11;0.064;4;11;6.4
2;0.001;100;exp;query_1;0.06;0.12;0.081;6;12;8.1
2;0.01;100;normal;query_1;0.02;0.03;0.020999999999999998;2;3;2.1
2;0.001;100;unif;query_2;0.07;0.16;0.11400000000000002;7;16;11.4
2;0.01;100;normal;query_2;0.02;0.06;0.037;2;6;3.7
2;0.001;100;normal;query_2;0.07;0.17;0.11599999999999999;7;17;11.6
2;0.01;100;unif;query_1;0.02;0.04;0.025;2;4;2.5
2;0.01;100;exp;query_2;0.02;0.11;0.071;2;11;7.1
2;0.01;100;exp;query_1;0.05;0.1;0.07300000000000001;5;10;7.3
2;0.1;100;unif;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
2;0.01;100;unif;query_2;0.03;0.13;0.077;3;13;7.7
2;0.1;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
2;0.1;100;normal;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
2;0.1;100;exp;query_1;0.04;0.11;0.07;4;11;7.0
2;0.5;100;unif;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
2;0.5;100;unif;query_2;0.02;0.03;0.020999999999999998;2;3;2.1
2;0.5;100;normal;query_1;0.02;0.02;0.019999999999999997;2;2;2.0
2;0.1;100;unif;query_2;0.02;0.05;0.029000000000000005;2;5;2.9
2;0.5;100;normal;query_2;0.02;0.02;0.019999999999999997;2;2;2.0
2;0.5;100;exp;query_2;0.03;0.08;0.05;3;8;5.0
2;0.1;100;exp;query_2;0.04;0.11;0.06200000000000001;4;11;6.2
2;0.5;100;exp;query_1;0.03;0.09;0.05;3;9;5.0
3;0.001;100;normal;query_1;0.03;0.11;0.06900000000000002;3;11;6.9
3;0.001;100;exp;query_1;0.06;0.11;0.082;6;11;8.2
3;0.001;100;exp;query_2;0.04;0.11;0.06900000000000002;4;11;6.9
3;0.01;100;unif;query_1;0.02;0.06;0.030000000000000006;2;6;3.0
