Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
2;0.001;500;get_uniform_points;query_1;0.026;0.052;0.039;13;26;19.5
2;0.01;500;get_uniform_points;query_1;0.026;0.05;0.0381;13;25;19.05
2;0.001;1000;get_uniform_points;query_1;0.006;0.016;0.011450000000000002;6;16;11.45
2;0.01;1000;get_uniform_points;query_1;0.006;0.016;0.011450000000000002;6;16;11.45
2;0.001;1500;get_uniform_points;query_1;0.015333333333333332;0.029333333333333333;0.02006666666666667;23;44;30.1
2;0.01;1500;get_uniform_points;query_1;0.009333333333333334;0.024666666666666667;0.015999999999999993;14;37;24.0
2;0.001;2000;get_uniform_points;query_1;0.007;0.0195;0.0125;14;39;25.0
2;0.01;2000;get_uniform_points;query_1;0.0065;0.0175;0.011775000000000002;13;35;23.55
2;0.001;2500;get_uniform_points;query_1;0.002;0.0084;0.005260000000000001;5;21;13.15
2;0.01;2500;get_uniform_points;query_1;0.002;0.0084;0.005220000000000001;5;21;13.05
2;0.001;3000;get_uniform_points;query_1;0.002;0.007333333333333333;0.004633333333333333;6;22;13.9
2;0.01;3000;get_uniform_points;query_1;0.002;0.007333333333333333;0.004583333333333333;6;22;13.75
2;0.001;3500;get_uniform_points;query_1;0.002857142857142857;0.008857142857142857;0.005714285714285714;10;31;20.0
2;0.01;3500;get_uniform_points;query_1;0.0025714285714285713;0.0074285714285714285;0.004871428571428571;9;26;17.05
2;0.001;4000;get_uniform_points;query_1;0.0035;0.00975;0.0067750000000000015;14;39;27.1
2;0.01;4000;get_uniform_points;query_1;0.00325;0.00875;0.0062000000000000015;13;35;24.8
2;0.001;4500;get_uniform_points;query_1;0.004;0.010222222222222223;0.006577777777777777;18;46;29.6
2;0.01;4500;get_uniform_points;query_1;0.004;0.008666666666666666;0.005633333333333333;18;39;25.35
2;0.001;5000;get_uniform_points;query_1;0.0048;0.0096;0.006379999999999999;24;48;31.9
2;0.01;5000;get_uniform_points;query_1;0.004;0.008;0.005560000000000001;20;40;27.8
2;0.001;5500;get_uniform_points;query_1;0.0016363636363636363;0.006545454545454545;0.004063636363636364;9;36;22.35
2;0.01;5500;get_uniform_points;query_1;0.0014545454545454545;0.004909090909090909;0.0031;8;27;17.05
2;0.001;6000;get_uniform_points;query_1;0.0031666666666666666;0.008333333333333333;0.0057666666666666665;19;50;34.6
2;0.01;6000;get_uniform_points;query_1;0.0023333333333333335;0.0065;0.004366666666666667;14;39;26.2
2;0.001;6500;get_uniform_points;query_1;0.0026153846153846153;0.005692307692307693;0.00393076923076923;17;37;25.55
2;0.01;6500;get_uniform_points;query_1;0.0021538461538461538;0.005384615384615384;0.003376923076923077;14;35;21.95
2;0.001;7000;get_uniform_points;query_1;0.002142857142857143;0.005;0.003235714285714285;15;35;22.65
2;0.01;7000;get_uniform_points;query_1;0.002;0.004428571428571428;0.0028428571428571426;14;31;19.9
2;0.001;7500;get_uniform_points;query_1;0.0009333333333333333;0.0033333333333333335;0.001973333333333333;7;25;14.8
2;0.01;7500;get_uniform_points;query_1;0.0009333333333333333;0.0033333333333333335;0.0019333333333333331;7;25;14.5
2;0.001;8000;get_uniform_points;query_1;0.00375;0.00675;0.00509375;30;54;40.75
2;0.01;8000;get_uniform_points;query_1;0.00275;0.005875;0.004181250000000001;22;47;33.45
2;0.001;8500;get_uniform_points;query_1;0.0038823529411764705;0.007294117647058823;0.005188235294117648;33;62;44.1
2;0.01;8500;get_uniform_points;query_1;0.002352941176470588;0.005294117647058823;0.0036647058823529415;20;45;31.15
2;0.001;9000;get_uniform_points;query_1;0.0015555555555555555;0.004222222222222222;0.002611111111111111;14;38;23.5
2;0.01;9000;get_uniform_points;query_1;0.001;0.003;0.0020166666666666666;9;27;18.15
2;0.001;9500;get_uniform_points;query_1;0.0007368421052631579;0.004105263157894737;0.002057894736842105;7;39;19.55
2;0.01;9500;get_uniform_points;query_1;0.0007368421052631579;0.003789473684210526;0.002010526315789474;7;36;19.1
2;0.01;10000;get_uniform_points;query_1;0.0008;0.0026;0.0017066666666666667;8;26;17.066666666666666
2;0.01;11000;get_uniform_points;query_1;0.0008181818181818182;0.0025454545454545456;0.001690909090909091;9;28;18.6
2;0.01;12000;get_uniform_points;query_1;0.0010833333333333333;0.00225;0.0016111111111111111;13;27;19.333333333333332
2;0.01;13000;get_uniform_points;query_1;0.0017692307692307693;0.0031538461538461538;0.002410256410256411;23;41;31.333333333333332
2;0.01;14000;get_uniform_points;query_1;0.0009285714285714286;0.0030714285714285713;0.0018809523809523812;13;43;26.333333333333332
2;0.01;15000;get_uniform_points;query_1;0.0011333333333333334;0.0034;0.002213333333333333;17;51;33.2
2;0.01;16000;get_uniform_points;query_1;0.0015;0.003125;0.0022833333333333334;24;50;36.53333333333333
2;0.01;17000;get_uniform_points;query_1;0.0011176470588235294;0.002176470588235294;0.0015372549019607843;19;37;26.133333333333333
2;0.01;18000;get_uniform_points;query_1;0.0011111111111111111;0.0020555555555555557;0.0017185185185185183;20;37;30.933333333333334
2;0.01;19000;get_uniform_points;query_1;0.0005263157894736842;0.0015263157894736842;0.0009543859649122806;10;29;18.133333333333333
2;0.01;20000;get_uniform_points;query_1;0.00055;0.0021;0.0014466666666666664;11;42;28.933333333333334
2;0.01;21000;get_uniform_points;query_1;0.00042857142857142855;0.0011904761904761906;0.0008825396825396827;9;25;18.533333333333335
2;0.01;22000;get_uniform_points;query_1;0.0003181818181818182;0.0011818181818181819;0.0007363636363636363;7;26;16.2
2;0.01;23000;get_uniform_points;query_1;0.000782608695652174;0.002217391304347826;0.0013710144927536233;18;51;31.533333333333335
2;0.01;24000;get_uniform_points;query_1;0.0007083333333333334;0.0017083333333333334;0.0010166666666666668;17;41;24.4
