Dimension;Epsilon;Npoints;point_gen_method;query_method;MinFraction;MaxFraction;AvgFraction;MinNumberOfDistances;MaxNumberOfDistances;AvgNumberOfDistances
2;0.0001;1000;get_points;query_1;0.012;0.032;0.022;12;32;22.0
2;0.0001;1000;get_uniform_points;query_1;0.007;0.016;0.012199999999999999;7;16;12.2
2;0.0005;1000;get_uniform_points;query_1;0.007;0.016;0.012199999999999999;7;16;12.2
2;0.0001;1000;get_points;query_2;0.015;0.034;0.020300000000000002;15;34;20.3
2;0.0001;1000;get_uniform_points;query_2;0.016;0.031;0.024;16;31;24.0
2;0.0005;1000;get_uniform_points;query_2;0.015;0.03;0.022199999999999998;15;30;22.2
2;0.0005;1000;get_points;query_2;0.015;0.033;0.0198;15;33;19.8
2;0.0005;1000;get_points;query_1;0.012;0.032;0.0219;12;32;21.9
2;0.005;1000;get_points;query_2;0.011;0.018;0.014300000000000002;11;18;14.3
2;0.001;1000;get_uniform_points;query_1;0.007;0.016;0.012199999999999999;7;16;12.2
2;0.001;1000;get_points;query_2;0.015;0.03;0.0191;15;30;19.1
2;0.001;1000;get_points;query_1;0.012;0.032;0.0218;12;32;21.8
2;0.005;1000;get_uniform_points;query_2;0.006;0.021;0.0118;6;21;11.8
2;0.005;1000;get_points;query_1;0.014;0.032;0.0213;14;32;21.3
2;0.001;1000;get_uniform_points;query_2;0.013;0.031;0.0207;13;31;20.7
2;0.005;1000;get_uniform_points;query_1;0.007;0.016;0.012199999999999999;7;16;12.2
2;0.01;1000;get_points;query_2;0.007;0.013;0.010899999999999998;7;13;10.9
2;0.01;1000;get_uniform_points;query_2;0.004;0.015;0.0086;4;15;8.6
2;0.01;1000;get_points;query_1;0.012;0.028;0.0194;12;28;19.4
2;0.01;1000;get_uniform_points;query_1;0.007;0.016;0.012199999999999999;7;16;12.2
4;0.0005;1000;get_points;query_1;0.024;0.073;0.044599999999999994;24;73;44.6
4;0.0001;1000;get_points;query_1;0.024;0.073;0.044599999999999994;24;73;44.6
4;0.0001;1000;get_points;query_2;0.022;0.062;0.045200000000000004;22;62;45.2
4;0.0001;1000;get_uniform_points;query_2;0.032;0.07;0.0506;32;70;50.6
4;0.0005;1000;get_points;query_2;0.022;0.06;0.0441;22;60;44.1
4;0.0005;1000;get_uniform_points;query_2;0.033;0.067;0.0484;33;67;48.4
4;0.0001;1000;get_uniform_points;query_1;0.034;0.068;0.0491;34;68;49.1
4;0.0005;1000;get_uniform_points;query_1;0.034;0.068;0.049;34;68;49.0
4;0.001;1000;get_points;query_1;0.024;0.068;0.04379999999999999;24;68;43.8
4;0.001;1000;get_points;query_2;0.02;0.059;0.0406;20;59;40.6
4;0.005;1000;get_points;query_2;0.014;0.04;0.029400000000000003;14;40;29.4
4;0.005;1000;get_points;query_1;0.024;0.06;0.04039999999999999;24;60;40.4
4;0.001;1000;get_uniform_points;query_2;0.029;0.062;0.0447;29;62;44.7
4;0.005;1000;get_uniform_points;query_2;0.019;0.035;0.029000000000000005;19;35;29.0
4;0.001;1000;get_uniform_points;query_1;0.034;0.068;0.0485;34;68;48.5
4;0.01;1000;get_points;query_2;0.01;0.027;0.0196;10;27;19.6
4;0.01;1000;get_uniform_points;query_2;0.009;0.024;0.0172;9;24;17.2
4;0.01;1000;get_points;query_1;0.023;0.06;0.0378;23;60;37.8
4;0.005;1000;get_uniform_points;query_1;0.034;0.067;0.0491;34;67;49.1
4;0.01;1000;get_uniform_points;query_1;0.031;0.065;0.0462;31;65;46.2
6;0.0001;1000;get_uniform_points;query_1;0.045;0.099;0.0709;45;99;70.9
6;0.0001;1000;get_points;query_1;0.038;0.139;0.0897;38;139;89.7
6;0.0005;1000;get_points;query_2;0.038;0.1;0.07310000000000001;38;100;73.1
6;0.0001;1000;get_points;query_2;0.042;0.112;0.0818;42;112;81.8
6;0.0005;1000;get_points;query_1;0.032;0.139;0.08870000000000001;32;139;88.7
6;0.0005;1000;get_uniform_points;query_1;0.045;0.099;0.07070000000000001;45;99;70.7
6;0.0001;1000;get_uniform_points;query_2;0.109;0.171;0.1391;109;171;139.1
6;0.005;1000;get_points;query_2;0.013;0.025;0.017900000000000003;13;25;17.9
6;0.001;1000;get_points;query_2;0.031;0.08;0.0627;31;80;62.7
6;0.001;1000;get_uniform_points;query_1;0.045;0.099;0.07060000000000001;45;99;70.6
6;0.001;1000;get_points;query_1;0.032;0.139;0.08800000000000001;32;139;88.0
6;0.01;1000;get_points;query_2;0.004;0.009;0.0061;4;9;6.1
6;0.005;1000;get_points;query_1;0.035;0.13;0.08700000000000001;35;130;87.0
6;0.0005;1000;get_uniform_points;query_2;0.104;0.163;0.1326;104;163;132.6
6;0.001;1000;get_uniform_points;query_2;0.101;0.152;0.1244;101;152;124.4
