ELAPSED TIME = 19754780 ms = 19.75478 sec for q = 1, dim = 2, delta = 0.5
ELAPSED TIME = 42168201 ms = 42.168201 sec for q = 2, dim = 2, delta = 0.5
ELAPSED TIME = 116135291 ms = 116.135291 sec for q = 3, dim = 2, delta = 0.5
ELAPSED TIME = 22232866 ms = 22.232866 sec for q = 1, dim = 2, delta = 0.2
ELAPSED TIME = 41472614 ms = 41.472614 sec for q = 2, dim = 2, delta = 0.2
ELAPSED TIME = 117579637 ms = 117.579637 sec for q = 3, dim = 2, delta = 0.2
ELAPSED TIME = 22927044 ms = 22.927044 sec for q = 1, dim = 2, delta = 0.1
ELAPSED TIME = 43045355 ms = 43.045355 sec for q = 2, dim = 2, delta = 0.1
ELAPSED TIME = 121810230 ms = 121.81023 sec for q = 3, dim = 2, delta = 0.1
ELAPSED TIME = 26727612 ms = 26.727612 sec for q = 1, dim = 2, delta = 0.01
ELAPSED TIME = 47929539 ms = 47.929539 sec for q = 2, dim = 2, delta = 0.01
ELAPSED TIME = 135018759 ms = 135.018759 sec for q = 3, dim = 2, delta = 0.01
ELAPSED TIME = 989927757 ms = 989.927757 sec for q = 1, dim = 1, delta = 0.2
ELAPSED TIME = 2133193091 ms = 2133.193091 sec for q = 2, dim = 1, delta = 0.2
ELAPSED TIME = 1084837602 ms = 1084.837602 sec for q = 1, dim = 1, delta = 0.1
ELAPSED TIME = 2255968254 ms = 2255.968254 sec for q = 2, dim = 1, delta = 0.1
ELAPSED TIME = 1416187083 ms = 1416.187083 sec for q = 1, dim = 1, delta = 0.01
ELAPSED TIME = 2627254004 ms = 2627.254004 sec for q = 2, dim = 1, delta = 0.01
ELAPSED TIME = 1744267560 ms = 1744.26756 sec for q = 1, dim = 0, delta = 0.5
ELAPSED TIME = 2835462990 ms = 2835.46299 sec for q = 2, dim = 0, delta = 0.5
ELAPSED TIME = 2209066511 ms = 2209.066511 sec for q = 1, dim = 0, delta = 0.2
ELAPSED TIME = 3338091460 ms = 3338.09146 sec for q = 2, dim = 0, delta = 0.2
ELAPSED TIME = 2605315417 ms = 2605.315417 sec for q = 1, dim = 0, delta = 0.1
ELAPSED TIME = 3719610653 ms = 3719.610653 sec for q = 2, dim = 0, delta = 0.1
