spanner_method;dim;n_points;epsilon;point_method;n_edges;sparseness
greedy;2;50;0.1;get_points;169;0.13795918367346938
random;2;50;0.1;get_points;522;0.42612244897959184
quasi;2;50;0.1;get_points;233;0.19020408163265307
greedy;2;50;0.01;get_uniform_points;426;0.34775510204081633
random;2;50;0.01;get_uniform_points;820;0.6693877551020408
quasi;2;50;0.01;get_uniform_points;567;0.46285714285714286
greedy;2;50;0.01;get_points;408;0.3330612244897959
random;2;50;0.01;get_points;820;0.6693877551020408
quasi;2;50;0.01;get_points;554;0.45224489795918366
greedy;2;50;0.1;get_exponential_points;89;0.07265306122448979
random;2;50;0.1;get_exponential_points;289;0.23591836734693877
quasi;2;50;0.1;get_exponential_points;131;0.10693877551020409
greedy;2;50;0.1;get_uniform_points;167;0.1363265306122449
random;2;50;0.1;get_uniform_points;519;0.4236734693877551
quasi;2;50;0.1;get_uniform_points;250;0.20408163265306123
greedy;2;50;0.2;get_exponential_points;73;0.05959183673469388
random;2;50;0.2;get_exponential_points;253;0.20653061224489797
quasi;2;50;0.2;get_exponential_points;107;0.08734693877551021
greedy;2;50;0.01;get_exponential_points;215;0.17551020408163265
random;2;50;0.01;get_exponential_points;469;0.38285714285714284
quasi;2;50;0.01;get_exponential_points;291;0.23755102040816325
greedy;2;50;0.2;get_uniform_points;120;0.09795918367346938
random;2;50;0.2;get_uniform_points;403;0.3289795918367347
quasi;2;50;0.2;get_uniform_points;176;0.1436734693877551
greedy;2;50;0.2;get_points;128;0.10448979591836735
random;2;50;0.2;get_points;416;0.3395918367346939
quasi;2;50;0.2;get_points;202;0.16489795918367348
greedy;2;50;0.5;get_points;77;0.06285714285714286
random;2;50;0.5;get_points;293;0.23918367346938776
quasi;2;50;0.5;get_points;114;0.09306122448979592
greedy;2;50;2.0;get_uniform_points;54;0.044081632653061226
random;2;50;2.0;get_uniform_points;164;0.13387755102040816
quasi;2;50;2.0;get_uniform_points;59;0.04816326530612245
greedy;2;50;2.0;get_points;58;0.0473469387755102
random;2;50;2.0;get_points;142;0.11591836734693878
quasi;2;50;2.0;get_points;68;0.05551020408163265
greedy;2;50;0.5;get_exponential_points;62;0.05061224489795919
random;2;50;0.5;get_exponential_points;161;0.13142857142857142
quasi;2;50;0.5;get_exponential_points;81;0.06612244897959184
greedy;2;50;2.0;get_exponential_points;50;0.04081632653061224
random;2;50;2.0;get_exponential_points;127;0.1036734693877551
quasi;2;50;2.0;get_exponential_points;52;0.04244897959183674
greedy;2;50;0.5;get_uniform_points;76;0.062040816326530614
random;2;50;0.5;get_uniform_points;324;0.26448979591836735
quasi;2;50;0.5;get_uniform_points;102;0.08326530612244898
