Dim;point_gen_method;input_file;spanner_method;epsilon;Points;Edges;Sparseness;Edges to points ratio
2;clustered;dist_matrix_points_2_100_clustered.txt;greedy-non-blind;0.1;100;285;0.0575758;2.85
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-quasi-sorted-greedy;0.1;100;950;0.191919;9.5
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-quasi-sorted-shaker;0.1;100;1892;0.382222;18.92
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.1;100;901;0.18202;9.01
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio;0.1;100;983;0.198586;9.83
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-connect-first;0.1;100;984;0.198788;9.84
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-lower-bound-first;0.1;100;854;0.172525;8.54
2;clustered;dist_matrix_points_2_100_clustered.txt;greedy-non-blind;0.2;100;218;0.0440404;2.18
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-quasi-sorted-greedy;0.2;100;948;0.191515;9.48
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-quasi-sorted-shaker;0.2;100;1864;0.376566;18.64
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.2;100;793;0.160202;7.93
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio;0.2;100;900;0.181818;9
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-connect-first;0.2;100;867;0.175152;8.67
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-lower-bound-first;0.2;100;727;0.146869;7.27
2;clustered;dist_matrix_points_2_100_clustered.txt;greedy-non-blind;0.5;100;156;0.0315152;1.56
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-quasi-sorted-greedy;0.5;100;948;0.191515;9.48
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-quasi-sorted-shaker;0.5;100;1818;0.367273;18.18
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.5;100;628;0.126869;6.28
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio;0.5;100;733;0.148081;7.33
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-connect-first;0.5;100;702;0.141818;7.02
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-lower-bound-first;0.5;100;632;0.127677;6.32
2;clustered;dist_matrix_points_2_100_clustered.txt;greedy-non-blind;0.01;100;562;0.113535;5.62
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-quasi-sorted-greedy;0.01;100;3157;0.637778;31.57
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-quasi-sorted-shaker;0.01;100;3450;0.69697;34.5
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-connect-first-lower-bound-first;0.01;100;1213;0.245051;12.13
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio;0.01;100;1533;0.309697;15.33
2;clustered;dist_matrix_points_2_100_clustered.txt;blind-random-bad-ratio-connect-first;0.01;100;1401;0.28303;14.01
